Numéro;Dépôt de destination;Dépôt d'origine;Date;Observation;Transfert entre dépôt;Exportée;Code du client;Code du dépôt;Date de livraison prévue
DIV-261145;Œnophile Zone 4;Divers;13/04/2026;COMPLEMENT LIQUIDES;;Coché;;DIV;
DIV-261146;OENOPHILE ZONE 3;Divers;13/04/2026;COMMANDE RESSORT ;;Coché;;DIV;
DIV-261144;Œnophile Zone 4;Divers;13/04/2026;COMMANDE STOCK LIQUIDES POUR LE MARDI 14;;Coché;;DIV;
DIV-261142;Œnophile Grand-Bassam;Divers;13/04/2026;COMMPLEMENT CAFE NESPRESSO;;Coché;;DIV;
DIV-261141;Œnophile Grand-Bassam;Divers;13/04/2026;COMMANDE NESPRESSO;;Coché;;DIV;
DIV-261143;Œnophile Sococe 2 Plateaux;Divers;13/04/2026;COMMANDE DE VINS ET SPIRITUEUX;;Coché;;DIV;
DIV-261139;NESPRESSO NOUR AL HAYAT;Divers;13/04/2026;;;Coché;;DIV;
DIV-261138;Œnophile Cap Sud;Divers;13/04/2026;COMMANDE COMPLEMENTAIRE DE VIN SPIRITUEUX DU LUNDI 13/04/2026;;Coché;;DIV;
DIV-261137;Boutique Nespresso Cap Sud;Divers;13/04/2026;;;Coché;;DIV;
DIV-261140;Œnophile Grand-Bassam;Divers;13/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-261136;BOUTIQUE NESPRESSO CAP NORD;Divers;13/04/2026;COMMANDES;;Coché;;DIV;
DIV-261135;Œnophile Cap Sud;Divers;13/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU LUNDI 13 AVRIL 2026;;Coché;;DIV;
DIV-261134;Œnophile 2 Plateaux;Divers;11/04/2026;COMPLEMENT DU 11/04/2026;;Coché;;DIV;
DIV-261133;Oenophile Faya;Divers;11/04/2026;COMMANDE SACS OENOPHILE;;Coché;;DIV;
DIV-261131;NESPRESSO ZONE 4;Divers;11/04/2026;COMMANDE CAFE;;Coché;;DIV;
DIV-261132;Œnophile 2 Plateaux;Divers;11/04/2026;COMMANDE DU 11/04/2026;;Coché;;DIV;
DIV-261129;Boutique Nespresso Cap Sud;Divers;11/04/2026;;;Coché;;DIV;
DIV-261130;Œnophile Plateau;Divers;11/04/2026;COMMANDE  DE   LIQUIDES ;;Coché;;DIV;
DIV-261128;Œnophile Zone 4;Divers;11/04/2026;COMPLEMENT DE COMMANDE;;Coché;;DIV;
DIV-261127;Œnophile Plateau;Divers;11/04/2026;COMMANDE DE LIQUIDES;;Coché;;DIV;
DIV-261126;Boutique Nespresso Cap Sud;Divers;11/04/2026;;;Coché;;DIV;
DIV-261125;Œnophile Cap Sud;Divers;11/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU SAMEDI 11 AVRIL 2026;;Coché;;DIV;
DIV-261124;Œnophile Zone 4;Divers;11/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU 11/04/2026;;Coché;;DIV;
DIV-261123;OENOPHILE 2 PLTX LATRILLE;Divers;11/04/2026;COMMANDE DE VINS ET ALCOOLS;;Coché;;DIV;
DIV-261122;Œnophile Yamoussoukro;Divers;10/04/2026;COMMANDE OENOPHILE YAMOUSSOUKRO;;Coché;;DIV;
DIV-261120;BOUTIQUE NESPRESSO COSMOS;Divers;10/04/2026;COMMANDE DE CAFE ET MACHINE;;Coché;;DIV;
DIV-261119;Œnophile Bouaké;Divers;10/04/2026;COMMANDE DE L'OENOPHILE BOUAKE DU 09-04-2026;;Coché;;DIV;
DIV-261117;NESPRESSO NOUR AL HAYAT;Divers;10/04/2026;;;Coché;;DIV;
DIV-261116;NESPRESSO NOUR AL HAYAT;Divers;10/04/2026;;;Coché;;DIV;
DIV-261115;NESPRESSO NOUR AL HAYAT;Divers;10/04/2026;;;Coché;;DIV;
DIV-261118;Œnophile San-Pédro;Divers;10/04/2026;COMMANDE DE VINS, ALCOOLS ET NESPRESSO;;Coché;;DIV;
DIV-261114;BOUTIQUE NESPRESSO II PLATEAUX;Divers;10/04/2026;COMMANDE CAFE;;Coché;;DIV;
DIV-261113;Œnophile BONOUMIN;Divers;10/04/2026;COMMANDE BAZAR;;Coché;;DIV;
DIV-261112;Boutique Nespresso Cap Sud;Divers;10/04/2026;;;Coché;;DIV;
DIV-261121;Œnophile Djibi;Divers;10/04/2026;COMMANDE VIN & SPIRITUEUX;;Coché;;DIV;
DIV-261111;Boutique Nespresso Cap Sud;Divers;10/04/2026;;;Coché;;DIV;
DIV-261110;Œnophile Zino Plateau;Divers;10/04/2026;COMMANDE LIQUIDE DU 10/04/2026;;Coché;;DIV;
